num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %,Rep_of_class_predict,Sequences_by_cltr,family_2021,family_2023,family_divercity,Genus,Protein_type,Protein_class,Host,Chain
1523,OP977883.1_1_1_1425,474,2,1.0,9,9.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1524,OP977883.1_2_1493_2551,352,2,1.0,3,3.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1525,OR240950.1_1_1_1749,582,27,1.0,15,15.0,100.0,QOE76814.1,6385,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Betainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
1526,OR243377.1_1_1_1701,566,13,1.0,14,14.0,100.0,QOE76806.1,22160,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
1527,OQ457184.1_1_1_6990,2329,25,1.0,102,102.0,100.0,AAT01719.1,7066,Picornaviridae,Picornaviridae,Picornaviridae,Aphthovirus,VP1,Polyprotein,Bos taurus,ssRNA(+)
1528,OQ560467.1_1_1_924,308,359,1.0,1,1.0,100.0,NP_612729.1,191,Herpesviridae,Orthoherpesviridae,Herpesviridae,Cytomegalovirus,tegument serine/threonine protein kinase,Structural-Envelope,Homo sapiens,dsDNA
1529,ON166842.1_1_3_2018,671,249,1.0,19,19.0,100.0,QOE76799.1,338,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Gammainfluenzavirus,hemagglutinin-esterase,Hemagglutinin,Homo sapiens,ssRNA(-)
1530,OY282893.1_1_1_1542,513,19,0.98,11,10.0,90.91,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1531,OY282971.1_2_175_2307,710,1,1.0,21,10.0,47.62,YP_009072438.1,12115,Coronaviridae,Coronaviridae,Coronaviridae-Herpesviridae-Orthomyxoviridae-Filoviridae-Flaviviridae-Astroviridae-Caliciviridae-Paramyxoviridae-Reoviridae-Retroviridae,Betacoronavirus,ORF1ab polyprotein,Other-Functions,Homo sapiens,ssRNA(+)
1532,OY283033.1_1_2_1429,475,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1533,LC756181.1_1_86_4249,1387,938,0.99,55,52.0,94.55,AVL84357.1,35,Alphaflexiviridae,Alphaflexiviridae,Alphaflexiviridae,Potexvirus,RNA-dependent RNA polymerase,Replication-Transcription,Lilium,ssRNA(+)
1534,ON381980.1_1_1_981,326,22,1.0,2,2.0,100.0,AKT71995.1,10204,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP7,Structural-Envelope,Homo sapiens,dsRNA
1535,LC360777.1_1_1_1575,524,43,1.0,12,12.0,100.0,QCF24330.1,3129,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,Lyssavirus,glycoprotein,Glycoprotein,Canis lupus familiaris,ssRNA(-)
1536,LC360789.1_1_1_1575,524,43,1.0,12,12.0,100.0,QCF24330.1,3129,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,Lyssavirus,glycoprotein,Glycoprotein,Canis lupus familiaris,ssRNA(-)
1537,LC360791.1_1_1_1575,524,43,1.0,12,12.0,100.0,QCF24330.1,3129,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,Lyssavirus,glycoprotein,Glycoprotein,Canis lupus familiaris,ssRNA(-)
1538,OQ201346.1_1_1_978,326,22,1.0,2,2.0,100.0,AKT71995.1,10204,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP7,Structural-Envelope,Homo sapiens,dsRNA
1539,OQ201350.1_1_1_978,326,22,1.0,2,2.0,100.0,AKT71995.1,10204,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP7,Structural-Envelope,Homo sapiens,dsRNA
1540,OR201328.1_1_1_1530,509,19,0.96,11,8.0,72.73,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1541,OR201576.1_1_1_1530,509,19,0.97,11,8.0,72.73,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1542,OR202023.1_1_1_1530,509,19,0.96,11,8.0,72.73,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1543,OR202237.1_1_40_1440,466,32,1.0,9,9.0,100.0,AVM87625.1,4547,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Betainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1544,OR202667.1_1_2_1729,575,19,1.0,14,14.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1545,OR202716.1_1_40_1440,466,32,1.0,9,9.0,100.0,AVM87625.1,4547,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Betainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1546,OR203151.1_1_1_2322,773,11,1.0,24,24.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
1547,OR203466.1_1_2_1768,588,27,0.99,15,15.0,100.0,QOE76814.1,6385,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Betainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
1548,OQ401867.1_1_1_7008,2336,25,1.0,102,101.0,99.02,AAT01719.1,7066,Picornaviridae,Picornaviridae,Picornaviridae,Aphthovirus,VP1,Polyprotein,Bos taurus,ssRNA(+)
1549,OQ759736.1_1_1_5505,1834,120,1.0,77,77.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1550,OQ759736.1_2_5584_7359,591,120,1.0,15,15.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1551,OQ759736.1_3_7425_11171,1248,44,1.0,48,48.0,100.0,AVM87430.1,3099,Togaviridae,Togaviridae,Togaviridae-Flaviviridae,Alphavirus,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+)
1552,OQ759826.1_1_1_5475,1824,120,1.0,77,77.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1553,OQ759826.1_2_5554_7329,591,120,1.0,15,15.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1554,OQ759826.1_3_7395_11090,1232,44,1.0,47,47.0,100.0,AVM87430.1,3099,Togaviridae,Togaviridae,Togaviridae-Flaviviridae,Alphavirus,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+)
1555,OQ759969.1_1_3_5477,1824,120,1.0,77,77.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1556,OQ759969.1_2_5556_7331,591,120,1.0,15,15.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1557,OQ759969.1_3_7397_11113,1239,44,1.0,47,47.0,100.0,AVM87430.1,3099,Togaviridae,Togaviridae,Togaviridae-Flaviviridae,Alphavirus,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+)
1558,OQ759996.1_1_1_5517,1838,120,1.0,77,77.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1559,OQ759996.1_2_5596_7371,591,120,1.0,15,15.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1560,OQ759996.1_3_7437_11132,1232,44,1.0,47,47.0,100.0,AVM87430.1,3099,Togaviridae,Togaviridae,Togaviridae-Flaviviridae,Alphavirus,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+)
1561,OQ760067.1_1_2_5503,1833,120,1.0,77,77.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1562,OQ760067.1_2_5582_7357,591,120,1.0,15,15.0,100.0,AND80849.1,901,Togaviridae,Togaviridae,Togaviridae,Alphavirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1563,OQ760067.1_3_7423_11118,1232,44,1.0,47,47.0,100.0,AVM87430.1,3099,Togaviridae,Togaviridae,Togaviridae-Flaviviridae,Alphavirus,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+)
1564,OP156785.1_1_1_1482,493,0,1.0,10,10.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
1565,OP277839.1_1_3_1142,380,16,0.98,4,4.0,100.0,AAP76556.1,20310,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
1566,LC504370.1_1_1_6873,2290,70,1.0,100,100.0,100.0,AWK57622.1,1751,Caliciviridae,Caliciviridae,Caliciviridae,Sapovirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
1567,OQ388989.1_1_1_3240,1079,152,1.0,39,39.0,100.0,AHF71065.1,673,Phenuiviridae,Phenuiviridae,Phenuiviridae,Bandavirus,membrane glycoprotein polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+/-)
1568,OQ389102.1_1_2_910,302,66,0.98,1,1.0,100.0,ASV45868.1,1992,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,Lyssavirus,polymerase,Replication-Transcription,Canis lupus familiaris,ssRNA(-)
1569,OR143222.1_3_1090_2289,399,101,1.0,5,5.0,100.0,CAA24906.1,1186,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,N protein,Other-Functions,Homo sapiens,ssRNA(-)
1570,OR143222.1_6_4655_5620,321,29,1.0,2,2.0,100.0,QSC88236.1,5119,Pneumoviridae,Pneumoviridae,Pneumoviridae,Orthopneumovirus,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(-)
1571,OR143222.1_7_5700_7424,574,54,1.0,14,14.0,100.0,QIH29414.1,2689,Pneumoviridae,Pneumoviridae,Pneumoviridae-Coronaviridae,Orthopneumovirus,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1572,OR143222.1_10_8535_15032,2165,76,1.0,94,94.0,100.0,QFX69115.1,1592,Pneumoviridae,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Orthopneumovirus,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-)
1573,OR166811.1_1_1_1749,582,27,1.0,15,15.0,100.0,QOE76814.1,6385,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Betainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
1574,OR166859.1_1_1_1683,560,19,1.0,13,13.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1575,OR166918.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1576,OR166923.1_1_1_2280,759,11,1.0,23,23.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
1577,OR166946.1_1_1_2274,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
1578,OQ459880.1_1_1_2280,759,11,0.99,23,23.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
1579,OQ459881.1_1_1_2238,746,11,1.0,23,23.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
1580,OQ459888.1_1_1_2274,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
1581,OQ459987.1_1_1_1497,498,19,1.0,10,10.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1582,OQ460020.1_1_1_1224,408,4,1.0,6,6.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1583,OQ460100.1_1_1_2151,716,6,1.0,21,21.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
1584,OR014583.1_2_314_2836,840,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1585,OR014872.1_2_331_2847,838,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1586,OR014920.1_2_333_2855,840,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1587,OR015009.1_2_316_2823,835,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1588,OR015089.1_2_337_2802,821,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1589,OR015144.1_2_527_2986,819,2,1.0,26,26.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1590,OR015298.1_2_349_2871,840,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1591,OR015389.1_2_344_2818,824,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1592,OR015409.1_2_316_2859,847,2,1.0,28,28.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1593,OR015502.1_2_335_2824,829,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1594,OR015734.1_2_317_2818,833,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1595,OR015739.1_2_316_2817,833,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1596,OR165028.1_1_25_2298,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
1597,OR125189.1_1_2_1537,511,19,1.0,11,11.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1598,OR125454.1_1_2_1426,474,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1599,OR144393.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1600,OP205533.1_1_3_5108,1701,35,1.0,71,71.0,100.0,QVI17106.1,5197,Caliciviridae,Caliciviridae,Caliciviridae,Norovirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1601,OP205533.1_2_5089_6711,540,26,1.0,12,12.0,100.0,QLQ34863.1,6754,Caliciviridae,Caliciviridae,Caliciviridae-Reoviridae,Norovirus,VP1,Structural-Envelope,Homo sapiens,ssRNA(+)
1602,OP205536.1_1_3_5108,1701,35,1.0,71,71.0,100.0,QVI17106.1,5197,Caliciviridae,Caliciviridae,Caliciviridae,Norovirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1603,OP205536.1_2_5089_6711,540,26,1.0,12,12.0,100.0,QLQ34863.1,6754,Caliciviridae,Caliciviridae,Caliciviridae-Reoviridae,Norovirus,VP1,Structural-Envelope,Homo sapiens,ssRNA(+)
1604,OP205562.1_1_3_5021,1672,35,0.99,69,46.0,66.67,QVI17106.1,5197,Caliciviridae,Caliciviridae,Caliciviridae,Norovirus,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+)
1605,OP205562.1_2_5008_7092,694,26,1.0,20,13.0,65.0,QLQ34863.1,6754,Caliciviridae,Caliciviridae,Caliciviridae-Reoviridae,Norovirus,VP1,Structural-Envelope,Homo sapiens,ssRNA(+)
1606,OQ355762.1_1_1_6582,2193,10,1.0,95,95.0,100.0,BAG82822.1,32162,Picornaviridae,Picornaviridae,Picornaviridae-Retroviridae,Enterovirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
1607,OR139243.1_1_3_1718,571,5,1.0,14,14.0,100.0,AFD32428.2,42254,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
1608,OR139533.1_1_1_1530,509,92,0.91,11,7.0,63.64,QGM78573.1,1247,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
1609,OR139548.1_1_2_1417,471,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1610,OR140119.1_1_3_1718,571,5,1.0,14,14.0,100.0,AFD32428.2,42254,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
1611,OR140153.1_1_2_1417,471,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1612,OR140297.1_1_1_2295,764,11,1.0,24,24.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
1613,OR133593.1_1_1_1398,465,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1614,OM171317.1_1_1_1410,469,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
1615,OM171339.1_1_1_1701,566,5,1.0,14,14.0,100.0,AFD32428.2,42254,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
1616,OP966047.1_1_1_1299,433,38,1.0,7,7.0,100.0,ACN88111.1,3608,Adenoviridae,Adenoviridae,Adenoviridae,Mastadenovirus,hexon,Other-Functions,Homo sapiens,dsDNA
1617,OQ355664.1_1_1_5586,1861,109,1.0,79,79.0,100.0,AYI50358.1,1026,Togaviridae,Togaviridae,Togaviridae,Alphavirus,non-structural polyprotein precursor P1234,Non-structural,Homo sapiens,ssRNA(+)
1618,OQ355664.1_2_5680_7440,586,109,1.0,15,15.0,100.0,AYI50358.1,1026,Togaviridae,Togaviridae,Togaviridae,Alphavirus,non-structural polyprotein precursor P1234,Non-structural,Homo sapiens,ssRNA(+)
1619,OQ355664.1_3_7563_11249,1228,44,1.0,47,47.0,100.0,AVM87430.1,3099,Togaviridae,Togaviridae,Togaviridae-Flaviviridae,Alphavirus,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+)
1620,OQ641462.1_1_1_1761,586,72,1.0,15,15.0,100.0,AMQ09749.1,1742,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Orthoavulavirus,hemagglutinin-neuraminidase,Hemagglutinin,Gallus gallus,ssRNA(-)
1621,OQ641502.1_1_1_1857,618,72,1.0,16,16.0,100.0,AMQ09749.1,1742,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Orthoavulavirus,hemagglutinin-neuraminidase,Hemagglutinin,Gallus gallus,ssRNA(-)
1622,MW620823.1_1_3_9731,3242,58,1.0,148,148.0,100.0,AXU24940.1,2319,Potyviridae,Potyviridae,Potyviridae-Bromoviridae,Potyvirus,polyprotein,Polyprotein,Glycine max,ssRNA(+)
1623,OQ266332.1_1_1_2553,850,48,1.0,28,28.0,100.0,QAA77599.1,2843,Reoviridae,Sedoreoviridae,Reoviridae,Rotavirus,VP3,Other-Functions,Homo sapiens,dsRNA
1624,OQ185281.1_1_1_6516,2171,979,0.96,94,46.0,48.94,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
1625,OQ190182.1_1_1_1635,545,268,1.0,13,13.0,100.0,AYV99177.1,296,Flaviviridae,Flaviviridae,Flaviviridae,Pestivirus,polyprotein,Polyprotein,Sus scrofa,ssRNA(+)
1626,OR105057.1_1_20_2170,716,6,1.0,21,21.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
1627,OR115651.1_1_1_1701,566,5,1.0,14,14.0,100.0,AFD32428.2,42254,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-)
1628,OQ579266.1_1_1_1485,495,15,1.0,10,10.0,100.0,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
1629,OQ826891.1_1_1_1479,493,15,1.0,10,10.0,100.0,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
1630,OQ826907.1_1_1_1479,493,15,1.0,10,10.0,100.0,QLC45894.1,20504,Flaviviridae,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Orthoflavivirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
1631,OP972878.1_1_29_1444,471,978,0.96,9,2.0,22.22,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1632,OQ164658.1_1_228_10598,3456,978,0.94,158,18.0,11.39,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
1633,OQ820508.1_1_1_2556,852,2,1.0,28,28.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1634,OQ820656.1_1_1_2574,858,2,1.0,28,28.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1635,OQ912894.1_2_328_2799,823,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
1636,OQ948508.1_1_139_1689,516,0,1.0,11,11.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
1637,OQ948508.1_2_1719_4493,924,0,1.0,32,21.0,65.62,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
1638,OQ948508.1_6_5675_8224,849,2,1.0,28,28.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
