ref,rep,fam_2021,fams_div,fam_2023,clu,sxc,proteina,proteina_class,host,cadena,genero
172,NP_777385.2,Retroviridae,Retroviridae,Retroviridae,9530,596,gp60 SU,Other-Functions,Undefined host,rt,Deltaretrovirus
173,NP_116409.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3396,594,T55,Other-Functions,Undefined host,dsdna,Quwivirus
174,YP_009179299.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2753,588,DNA polymerase,Replication-Transcription,Elephas maximus,dsdna,Proboscivirus
175,AGO32039.1,Reoviridae,Reoviridae,Spinareoviridae,17548,587,sigmaC,Cellular-Regulation,Gallus gallus,dsrna,Orthoreovirus
176,AOR17474.1,Picornaviridae,Picornaviridae-Coronaviridae,Picornaviridae,886,574,polyprotein,Polyprotein,Homo sapiens,ssrna+,Enterovirus
177,AAV48848.3,Birnaviridae,Birnaviridae,Birnaviridae,3212,570,polyprotein,Polyprotein,Gadus morhua,dsrna,Aquabirnavirus
178,CAX33878.1,Birnaviridae,Birnaviridae,Birnaviridae,2921,565,RdRp,Replication-Transcription,Brachionus plicatilis,dsrna,Undefined genus
179,0711245A,Retroviridae,Retroviridae,Retroviridae,594,553,protein gag/pol/env,Structural-Envelope,Undefined host,rt,Gammaretrovirus
180,APC23164.1,Parvoviridae,Parvoviridae,Parvoviridae,5794,549,NS1,Other-Functions,Macaca mulatta,ssdna,Erythroparvovirus
181,ACO92353.1,Picornaviridae,Picornaviridae,Picornaviridae,734,547,polyprotein,Polyprotein,Homo sapiens,ssrna+,Cardiovirus
182,QHW16755.1,Poxviridae,Poxviridae,Poxviridae,13634,542,MC021L,Other-Functions,Homo sapiens,dsdna,Molluscipoxvirus
183,QUP51759.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,11140,538,coat ,Structural-Envelope,Centella asiatica,ssrna+,Carlavirus
184,CAR56929.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,13106,532,hemagglutinin,Hemagglutinin,Salmo salar,ssrna-,Isavirus
185,QQM99855.1,Picobirnaviridae,Picobirnaviridae,Picobirnaviridae,7532,528,RdRp,Replication-Transcription,Pantholops hodgsonii,dsrna,Picobirnavirus
186,YP_004895090.1,Mimiviridae,Mimiviridae,Mimiviridae,5817,626,putative F-box and FNIP repeat-containing protein,Other-Functions,Undefined host,dsdna,Mimivirus
187,AJT39532.1,Parvoviridae,Parvoviridae,Parvoviridae,2960,506,capsid,Structural-Envelope,Sus scrofa,ssdna,Protoparvovirus
188,AZQ00683.1,Potyviridae,Potyviridae,Potyviridae,546,503,polyprotein,Polyprotein,Dioscorea alata,ssrna+,Macluravirus
189,AGC36402.1,Picornaviridae,Picornaviridae,Picornaviridae,636,498,polyprotein,Polyprotein,Canis lupus familiaris,ssrna+,Kobuvirus
190,QUS52949.1,Adenoviridae,Adenoviridae,Adenoviridae,5581,497,capsid,Structural-Envelope,Columba livia,dsdna,Aviadenovirus
191,5FSG_A,Hantaviridae,Hantaviridae-Paramyxoviridae-Retroviridae-Flaviviridae,Hantaviridae,5729,490,nucleoprotein,Structural-Envelope,Undefined host,ssrna-,Orthohantavirus
192,NP_056886.1,Retroviridae,Retroviridae,Retroviridae,1582,489,Pr180 polyprotein precursor,Other-Functions,Undefined host,rt,Alpharetrovirus
193,QRG45927.1,Nairoviridae,Nairoviridae,Nairoviridae,1446,488,glycoprotein precursor,Glycoprotein,Rhipicephalus decoloratus,ssrna-,Orthonairovirus
194,YP_009508797.1,Parvoviridae,Parvoviridae,Parvoviridae,3707,486,NS1,Other-Functions,Miniopterus schreibersii,ssdna,Bocaparvovirus
195,AKI18383.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3822,476,tegument ,Structural-Envelope,Homo sapiens,dsdna,Cytomegalovirus
196,AGB67759.1,Picornaviridae,Picornaviridae,Picornaviridae,818,469,polyprotein,Polyprotein,Sus scrofa,ssrna+,Teschovirus
197,YP_009351861.1,Flaviviridae,Flaviviridae,Flaviviridae,244,462,polyprotein,Polyprotein,Culicidae,ssrna+,Undefined genus
198,AKZ66476.1,Coronaviridae,Coronaviridae,Coronaviridae,1723,458,spike,Structural-Envelope,Undefined host,ssrna+,Alphacoronavirus
199,YP_006468898.1,Tospoviridae,Tospoviridae-Peribunyaviridae,Tospoviridae,446,456,L protein,Other-Functions,Phaseolus vulgaris,ssrna-,Orthotospovirus
200,7M5E_A,Coronaviridae,Coronaviridae,Coronaviridae,1952,454,spike glycoprotein,Structural-Envelope,Undefined host,ssrna+,Betacoronavirus
201,YP_009552729.1,Polyomaviridae,Polyomaviridae,Polyomaviridae,16252,454,VP2,Other-Functions,Potamochoerus porcus,dsdna,Epsilonpolyomavirus
202,ADJ18278.1,Anelloviridae,Anelloviridae,Anelloviridae,11649,452,VP1,Other-Functions,Undefined host,ssdna,Gyrovirus
203,QQP29627.1,Flaviviridae,Flaviviridae,Flaviviridae,280,823,polyprotein,Polyprotein,Homo sapiens,ssrna+,Orthoflavivirus
204,AET72462.1,Picornaviridae,Picornaviridae-Coronaviridae,Picornaviridae,918,446,polyprotein,Polyprotein,Homo sapiens,ssrna+,Enterovirus
205,NP_598314.1,Coronaviridae,Coronaviridae,Coronaviridae,12185,444,nucleocapsid,Structural-Envelope,Undefined host,ssrna+,Alphacoronavirus
206,YP_009345901.1,Picornaviridae,Picornaviridae,Picornaviridae,615,430,polyprotein,Polyprotein,Eidolon helvum,ssrna+,Sapelovirus
207,AGX86088.1,Reoviridae,Reoviridae,Sedoreoviridae,15186,430,NS2,Other-Functions,Culex annulirostris,dsrna,Orbivirus
208,ARU09832.1,Solemoviridae,Solemoviridae-Luteoviridae-Geminiviridae,Solemoviridae,5749,429,CP-RTD,Other-Functions,Undefined host,ssrna+,Polerovirus
209,QAG21139.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,312,427,BPLF1,Other-Functions,Homo sapiens,dsdna,Lymphocryptovirus
210,YP_010085063.1,Tospoviridae,Tospoviridae-Peribunyaviridae,Tospoviridae,2389,413,glycoprotein precursor,Glycoprotein,Glycine max,ssrna-,Orthotospovirus
211,AQX34698.1,Reoviridae,Reoviridae,Sedoreoviridae,8282,412,NS1,Other-Functions,Diptera,dsrna,Orbivirus
212,QVW56497.1,Genomoviridae,Genomoviridae-Circoviridae,Genomoviridae,16929,581,capsid,Structural-Envelope,Phoenicopteridae,ssdna,Undefined genus
213,QOR29584.1,Dicistroviridae,Dicistroviridae,Dicistroviridae,603,409,polyprotein,Polyprotein,Apis mellifera,ssrna+,Triatovirus
214,YP_009513193.1,Nairoviridae,Nairoviridae-Peribunyaviridae,Nairoviridae,6082,409,nucleoprotein,Structural-Envelope,Crocidura,ssrna-,Orthonairovirus
215,APG77540.1,Virgaviridae,Virgaviridae,Virgaviridae,1536,408,replicase,Replication-Transcription,Undefined host,ssrna+,Tobamovirus
216,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein,Other-Functions,Homo sapiens,dsdna,Undefined genus
217,ATZ76094.1,Hypoviridae,Hypoviridae,Hypoviridae,6947,406,ORF A,Other-Functions,Cryphonectria parasitica,dsrna,Alphahypovirus
218,QSJ02959.1,Coronaviridae,Coronaviridae,Coronaviridae,11545,405,nucleocapsid,Structural-Envelope,Mus musculus,ssrna+,Betacoronavirus
219,BAW81815.1,Bromoviridae,Bromoviridae,Bromoviridae,3944,402,protein,Other-Functions,Brassica juncea,ssrna+,Cucumovirus
220,ATE46284.1,Potyviridae,Potyviridae,Potyviridae,347,394,polyprotein,Polyprotein,Saccharum sp.,ssrna+,Poacevirus
221,YP_004089623.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,13034,392,coat ,Structural-Envelope,Prunus armeniaca,ssrna+,Foveavirus
222,YP_009513274.1,Filoviridae,Filoviridae,Filoviridae,5184,386,nucleoprotein,Structural-Envelope,Mops condylurus,ssrna-,Orthoebolavirus
223,QJD34359.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,11031,386,L2,Other-Functions,Homo sapiens,dsdna,Alphapapillomavirus
224,YP_009666113.1,Nairoviridae,Nairoviridae-Peribunyaviridae,Nairoviridae,152,384,RdRp,Replication-Transcription,Ornithodoros tartakovskyi,ssrna-,Orthonairovirus
225,CAC80000.1,Bromoviridae,Bromoviridae,Bromoviridae,3066,383,replicase,Replication-Transcription,Alstroemeria,ssrna+,Cucumovirus
226,QMP82847.1,Parvoviridae,Parvoviridae,Parvoviridae,3952,381,NS1,Other-Functions,Undefined host,ssdna,Bocaparvovirus
227,ACE80203.1,Picornaviridae,Picornaviridae-Hepadnaviridae,Picornaviridae,805,380,polyprotein,Polyprotein,Undefined host,ssrna+,Avihepatovirus
228,AFO11486.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,1156,377,polyprotein,Polyprotein,Saccharum hybrid cultivar BO91,rt,Badnavirus
229,ARC95292.1,Picornaviridae,Picornaviridae,Picornaviridae,672,376,polyprotein,Polyprotein,Sus scrofa,ssrna+,Enterovirus
230,ABX25829.1,Retroviridae,Retroviridae,Retroviridae,9965,372,gag polyprotein,Structural-Envelope,Panthera leo,rt,Lentivirus
231,QBN85124.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3720,370,helicase,Replication-Transcription,Undefined host,dsdna,Varicellovirus
232,AMB65767.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,12926,370,hypothetical protein,Hypothetical ,Chlorocebus sabaeus,dsdna,Simplexvirus
233,AWW11242.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,333,369,UL36,Other-Functions,Homo sapiens,dsdna,Simplexvirus
234,YP_007906023.1,Adenoviridae,Adenoviridae,Adenoviridae,7162,365,fibre,Structural-Envelope,Papio anubis,dsdna,Mastadenovirus
235,YP_010085229.1,Poxviridae,Poxviridae,Poxviridae,5576,361,P4b precursor,Other-Functions,Macropus fuliginosus,dsdna,Macropopoxvirus
236,QJI53447.1,Totiviridae,Iflaviridae-Totiviridae-Dicistroviridae,Totiviridae,174,359,polyprotein,Polyprotein,Undefined host,dsrna,Undefined genus
237,BBG62182.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,5124,358,large T antigen,Other-Functions,Taphozous melanopogon,dsdna,Undefined genus
238,YP_009824993.1,Coronaviridae,Coronaviridae,Coronaviridae,11016,356,capsid,Structural-Envelope,Eidolon helvum,ssrna+,Undefined genus
239,YP_002308464.1,Alphaflexiviridae,Alphaflexiviridae,Alphaflexiviridae,1685,355,replicase,Replication-Transcription,Undefined host,ssrna+,Potexvirus
240,AHV84051.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3206,354,helicase,Replication-Transcription,Homo sapiens,dsdna,Cytomegalovirus
241,NP_041242.1,Parvoviridae,Parvoviridae,Parvoviridae,5429,353,nonstructural ,Non-structural,Undefined host,ssdna,Protoparvovirus
242,YP_052956.1,Reoviridae,Reoviridae,Sedoreoviridae,16620,350,VP7 ,Other-Functions,Undefined host,dsrna,Orbivirus
243,NP_957802.1,Poxviridae,Poxviridae,Poxviridae,3052,349,ORF025 DNA polymerase,Replication-Transcription,Undefined host,dsdna,Parapoxvirus
244,QGY64368.1,Adenoviridae,Adenoviridae,Adenoviridae,2823,344,hexon,Other-Functions,Homo sapiens,dsdna,Mastadenovirus
245,NP_045004.1,Closteroviridae,Closteroviridae,Closteroviridae,7054,343,HSP70 homologue,Stress-Response,Undefined host,ssrna+,Velarivirus
246,QPZ88447.1,Tospoviridae,Tospoviridae,Tospoviridae,10282,343,nonstructural silencing suppressor,Non-structural,Neohydatothrips variabilis,ssrna-,Orthotospovirus
247,ACK77584.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,5065,341,G protein/GFP fusion protein,Structural-Envelope,Undefined host,ssrna-,Vesiculovirus
248,NP_044188.1,Adenoviridae,Adenoviridae,Adenoviridae,9946,339,hypothetical protein,Hypothetical ,Canis lupus familiaris,dsdna,Mastadenovirus
249,QOE76799.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,5789,338,hemagglutinin,Hemagglutinin,Microhyla fissipes,ssrna-,Undefined genus
250,AAN04389.1,Nudiviridae,Poxviridae-Phycodnaviridae-Baculoviridae-Mimiviridae-Asfarviridae-Nimaviridae-Alloherpesviridae-Nudiviridae-Hytrosaviridae-Caulimoviridae,Nudiviridae,3430,336,Rr1,Other-Functions,Helicoverpa zea,dsdna,Betanudivirus
251,BAV53465.1,Solemoviridae,Solemoviridae-Luteoviridae-Geminiviridae,Solemoviridae,5213,335,putative P3-P5 protein,Other-Functions,Capsicum frutescens,ssrna+,Polerovirus
252,AMB66415.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,1783,333,major capsid,Structural-Envelope,Chlorocebus sabaeus,dsdna,Simplexvirus
253,CAA01837.1,Arteriviridae,Arteriviridae,Arteriviridae,163,331,orf1A,Other-Functions,Undefined host,ssrna+,Betaarterivirus
254,QBK85816.1,Marseilleviridae,Iridoviridae-Marseilleviridae,Marseilleviridae,9184,327,major capsid,Structural-Envelope,Undefined host,dsdna,Undefined genus
255,AID16660.1,Coronaviridae,Coronaviridae,Coronaviridae,12205,325,hemagglutinin,Hemagglutinin,Niviventer confucianus,ssrna+,Betacoronavirus
256,ARX74206.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,8240,319,fusion glycoprotein,Structural-Envelope,Homo sapiens,ssrna-,Respirovirus
257,AAA46204.1,Retroviridae,Retroviridae,Retroviridae,8740,317,glycoprotein,Glycoprotein,Undefined host,rt,Deltaretrovirus
258,QED45302.1,Potyviridae,Potyviridae,Potyviridae,246,315,polyprotein,Polyprotein,Allium sativum,ssrna+,Potyvirus
259,ATZ69454.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,1232,575,ORF3 polyprotein,Other-Functions,Theobroma cacao,rt,Badnavirus
260,BBG62110.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,10203,311,minor capsid,Structural-Envelope,Rhinolophus sinicus,dsdna,Undefined genus
261,YP_009351850.1,Reoviridae,Reoviridae,Spinareoviridae,2152,310,VP2,Other-Functions,Oncorhynchus tshawytscha,dsrna,Aquareovirus
262,BAB33175.1,Retroviridae,Retroviridae,Retroviridae,3110,309,envelope,Structural-Envelope,Undefined host,rt,Felispumavirus
263,YP_006272973.1,Adenoviridae,Adenoviridae,Adenoviridae,12082,306,fiber,Structural-Envelope,Pan troglodytes,dsdna,Mastadenovirus
264,QBH76564.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2259,305,UL52,Other-Functions,Homo sapiens,dsdna,Simplexvirus
265,ASA48525.1,Anelloviridae,Anelloviridae,Anelloviridae,9295,305,ORF1,Other-Functions,Leptonychotes weddellii,ssdna,Lambdatorquevirus
266,QYA72637.1,Potyviridae,Potyviridae-Mimiviridae,Potyviridae,452,301,polyprotein,Polyprotein,Manihot esculenta,ssrna+,Ipomovirus
267,P03364.3,Retroviridae,Retroviridae,Retroviridae,1245,299,gag polyprotein,Structural-Envelope,Mammalia,rt,Betaretrovirus
268,AYV99177.1,Flaviviridae,Flaviviridae,Flaviviridae,188,296,polyprotein,Polyprotein,Scotophilus kuhlii,ssrna+,Pestivirus
269,QQG34656.1,Tymoviridae,Tymoviridae-Picornaviridae,Tymoviridae,905,294,polyprotein,Polyprotein,Davidia involucrata,ssrna+,Marafivirus
270,AMB66209.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2045,294,single-stranded DNA-binding protein,Binding-Protein,Chlorocebus sabaeus,dsdna,Simplexvirus
271,AQW44800.1,Secoviridae,Secoviridae,Secoviridae,683,292,polyprotein,Polyprotein,Arracacia xanthorrhiza,ssrna+,Nepovirus
272,QNJ57194.1,Anelloviridae,Anelloviridae,Anelloviridae,6482,292,ORF1,Other-Functions,Sus scrofa domesticus,ssdna,Iotatorquevirus
273,YP_009664807.1,Closteroviridae,Closteroviridae,Closteroviridae,7179,292,p66,Other-Functions,Sonchus oleraceus,ssrna+,Closterovirus
274,QYA72453.1,Secoviridae,Secoviridae,Secoviridae,1176,291,polyprotein,Polyprotein,Solanum tuberosum,ssrna+,Comovirus
275,YP_009505443.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,14443,291,phosphoprotein,Other-Functions,Epomophorus,ssrna-,Orthorubulavirus
276,NP_944422.2,Herpesviridae,Herpesviridae,Orthoherpesviridae,4547,289,DNA packaging terminase subunit 1,Other-Functions,Amazona oratrix,dsdna,Iltovirus
277,BBG62074.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,4487,288,large T antigen,Other-Functions,Rhinolophus ferrumequinum,dsdna,Undefined genus
278,YP_392514.1,Reoviridae,Reoviridae,Sedoreoviridae,5120,288,outer capsid spike,Structural-Envelope,Undefined host,dsrna,Rotavirus
279,YP_009507774.1,Reoviridae,Reoviridae,Spinareoviridae,7655,286,P8,Other-Functions,Undefined host,dsrna,Fijivirus
280,AGE49692.1,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,3428,283,DNA polymerase,Replication-Transcription,Micractinium conductrix,dsdna,Chlorovirus
281,AMB66386.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,4728,283,envelope glycoprotein,Structural-Envelope,Homo sapiens,dsdna,Simplexvirus
282,AYA83039.1,Filoviridae,Filoviridae,Filoviridae,15441,282,VP40 matrix protein,Structural-Envelope,Homo sapiens,ssrna-,Orthoebolavirus
283,ABX25833.1,Retroviridae,Retroviridae,Retroviridae,3883,280,envelope glycoprotein,Structural-Envelope,Panthera leo,rt,Lentivirus
284,QOL70884.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,11629,280,fusion,Structural-Envelope,Undefined host,ssrna-,Isavirus
285,BCK34805.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2358,275,nuclear antigen,Other-Functions,Undefined host,dsdna,Lymphocryptovirus
286,QAD37909.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3221,274,EBNA-3A,Other-Functions,Homo sapiens,dsdna,Lymphocryptovirus
287,YP_009448179.1,Astroviridae,Astroviridae,Astroviridae,1884,271,nonstructural ,Non-structural,Rattus norvegicus,ssrna+,Mamastrovirus
288,QGY64372.1,Adenoviridae,Adenoviridae,Adenoviridae,6898,265,control protein E1B 55K,Regulation-Control,Homo sapiens,dsdna,Mastadenovirus
289,YP_002268402.1,Picornaviridae,Picornaviridae,Picornaviridae,894,264,polyprotein,Polyprotein,Undefined host,ssrna+,Senecavirus
290,YP_009552848.1,Tombusviridae,Tombusviridae-Luteoviridae-Solemoviridae,Tombusviridae,3347,264,polyprotein,Polyprotein,Malus pumila,ssrna+,Luteovirus
291,SBS69695.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,4588,264,contains a RING finger,Other-Functions,Undefined host,dsdna,Simplexvirus
292,CBG22680.1,Adenoviridae,Adenoviridae,Adenoviridae,7084,264,unnamed protein product,Other-Functions,Undefined host,dsdna,Mastadenovirus
293,YP_010086221.1,Phenuiviridae,Phenuiviridae-Peribunyaviridae,Phenuiviridae,1751,422,membrane,Structural-Envelope,Phlebotomus papatasi,ssrna-,Phlebovirus
294,ARA91676.1,Anelloviridae,Anelloviridae,Anelloviridae,6599,257,ORF1,Other-Functions,Sus scrofa,ssdna,Kappatorquevirus
295,AIE40966.1,Poxviridae,Poxviridae,Poxviridae,10171,256,serine protease inhibitor-like SPI-1 protein,Other-Functions,Undefined host,dsdna,Orthopoxvirus
296,YP_009352936.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3963,252,DNA packaging terminase subunit 2,Other-Functions,Columba livia,dsdna,Mardivirus
297,AZR67740.1,Adenoviridae,Adenoviridae,Adenoviridae,13727,252,nucleoprotein,Structural-Envelope,Homo sapiens,dsdna,Mastadenovirus
298,AMB66203.1,Herpesviridae,Herpesviridae-Rhabdoviridae,Orthoherpesviridae,3313,249,nuclear protein UL24,Other-Functions,Chlorocebus sabaeus,dsdna,Simplexvirus
299,AMJ52831.2,Herpesviridae,Herpesviridae,Orthoherpesviridae,6621,249,protein UL150,Other-Functions,Homo sapiens,dsdna,Cytomegalovirus
300,AMB61086.1,Adenoviridae,Adenoviridae,Adenoviridae,7064,249,peripentonal hexon associated protein IIIa precursor,Other-Functions,Homo sapiens,dsdna,Mastadenovirus
301,AYA49804.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2186,248,hypothetical protein,Hypothetical ,Macaca arctoides,dsdna,Lymphocryptovirus
302,QTE03943.1,Parvoviridae,Parvoviridae,Parvoviridae,6039,248,replication-associated protein,Replication-Transcription,Psittacidae,ssdna,Dependoparvovirus
303,AID55207.1,Astroviridae,Astroviridae,Astroviridae,5115,245,capsid,Structural-Envelope,Anatidae,ssrna+,Avastrovirus
304,AZK35897.1,Anelloviridae,Anelloviridae,Anelloviridae,4267,244,hypothetical protein ,Hypothetical ,Homo sapiens,ssdna,Alphatorquevirus
305,AWW13352.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2034,242,RS1,Other-Functions,Homo sapiens,dsdna,Simplexvirus
306,ACU01783.1,Arteriviridae,Arteriviridae,Arteriviridae,643,239,nonstructural replicase,Replication-Transcription,Undefined host,ssrna+,Betaarterivirus
307,7LBE_C,Herpesviridae,Herpesviridae,Herpesviridae,9893,238,Envelope glycoprotein ,Structural-Envelope,Undefined host,dsdna,Cytomegalovirus
308,AMB66406.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3578,237,DNA replication origin-binding helicase,Replication-Transcription,Chlorocebus sabaeus,dsdna,Simplexvirus
309,ADJ00320.1,Reoviridae,Reoviridae,Spinareoviridae,5588,236,capsid,Structural-Envelope,Homo sapiens,dsrna,Orthoreovirus
310,YP_009214659.1,Arteriviridae,Arteriviridae,Arteriviridae,146,234,ORF1ab polyprotein,Other-Functions,Myodes rufocanus,ssrna+,Betaarterivirus
311,BCK34806.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2737,234,nuclear antigen,Other-Functions,Undefined host,dsdna,Lymphocryptovirus
312,AAA43011.1,Retroviridae,Retroviridae,Retroviridae,9656,234,gag polyprotein,Structural-Envelope,Undefined host,rt,Lentivirus
313,QBA84868.1,Parvoviridae,Parvoviridae,Parvoviridae,2409,232,capsid,Structural-Envelope,Sus scrofa,ssdna,Copiparvovirus
314,AMB66268.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5006,232,DNA packaging tegument protein UL17,Structural-Envelope,Chlorocebus sabaeus,dsdna,Simplexvirus
315,QAD27837.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,8327,232,EBNA-2,Other-Functions,Homo sapiens,dsdna,Lymphocryptovirus
316,AAA46240.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,13429,231,nucleocapsid,Structural-Envelope,Undefined host,ssrna-,Novirhabdovirus
317,NP_612691.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,777,230,large tegument protein,Structural-Envelope,Pan troglodytes,dsdna,Cytomegalovirus
318,QYC92650.1,Baculoviridae,Baculoviridae,Baculoviridae,2457,230,DNA polymerase,Replication-Transcription,Trabala vishnou,dsdna,Alphabaculovirus
319,YP_009666846.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,4003,230,G protein,Other-Functions,Lophuromys machangui,ssrna-,Jeilongvirus
320,YP_006200960.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,6256,229,spike glycoprotein,Structural-Envelope,Mansonia uniformis,ssrna-,Ephemerovirus
321,ACN81881.1,Poxviridae,Poxviridae,Poxviridae,2026,227,DNA-dependent RNA polymerase,Replication-Transcription,Procyon lotor,dsdna,Orthopoxvirus
322,AMB66419.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,13424,226,thymidine kinase,Other-Functions,Chlorocebus sabaeus,dsdna,Simplexvirus
323,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,13688,320,E2 protein,Other-Functions,Homo sapiens,dsdna,Undefined genus
324,AKH48996.1,Arenaviridae,Arenaviridae,Arenaviridae,994,224,L polymerase,Replication-Transcription,Boa constrictor,ssrna-,Reptarenavirus
325,AMB65784.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2084,224,ribonucleotide reductase subunit 1,Other-Functions,Chlorocebus sabaeus,dsdna,Simplexvirus
326,ASA40120.1,Caulimoviridae,Caulimoviridae-Phycodnaviridae,Caulimoviridae,1088,223,ORF3,Other-Functions,Dioscorea esculenta,rt,Badnavirus
327,DAC85029.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,1261,222,RdRp,Replication-Transcription,Vitis vinifera,ssrna+,Trichovirus
328,AKI08798.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5575,219,capsid maturation protease,Structural-Envelope,Homo sapiens,dsdna,Cytomegalovirus
329,YP_009026384.1,Picornaviridae,Picornaviridae,Picornaviridae,581,218,polyprotein,Polyprotein,Coracias garrulus,ssrna+,Mosavirus
330,YP_009021566.1,Parvoviridae,Parvoviridae,Parvoviridae,6255,216,nonstructural ,Non-structural,Sus scrofa,ssdna,Copiparvovirus
331,YP_009268819.1,Poxviridae,Poxviridae,Poxviridae,3538,215,p4a precursor,Other-Functions,Pteropus scapulatus,dsdna,Pteropopoxvirus
332,ADR30470.1,Reoviridae,Reoviridae,Spinareoviridae,15744,215,S3 protein,Other-Functions,Anas platyrhynchos,dsrna,Orthoreovirus
333,AGZ95200.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5561,213,BGRF1/BDRF1,Other-Functions,Homo sapiens,dsdna,Lymphocryptovirus
334,NP_258306.1,Baculoviridae,Baculoviridae,Baculoviridae,3551,210,LEF-8,Other-Functions,Undefined host,dsdna,Alphabaculovirus
335,YP_003084389.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,6419,210,UL32,Other-Functions,Anatidae,dsdna,Mardivirus
336,AAU06813.1,Retroviridae,Retroviridae,Retroviridae,6876,209,envelope,Structural-Envelope,Undefined host,rt,Alpharetrovirus
337,SNB54148.1,Poxviridae,Poxviridae,Poxviridae,2097,207,Ati,Other-Functions,Undefined host,dsdna,Orthopoxvirus
338,QCG99665.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3577,207,BLLF1,Other-Functions,Homo sapiens,dsdna,Lymphocryptovirus
339,NP_041192.1,Bromoviridae,Bromoviridae,Bromoviridae,2598,205,protein,Other-Functions,Undefined host,ssrna+,Alfamovirus
340,AMB66133.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5142,205,capsid maturation protease,Structural-Envelope,Chlorocebus sabaeus,dsdna,Simplexvirus
341,YP_001468087.1,Potyviridae,Potyviridae,Potyviridae,354,203,polyprotein,Polyprotein,Undefined host,ssrna+,Tritimovirus
342,QBL75902.1,Dicistroviridae,Dicistroviridae-Nyamiviridae,Dicistroviridae,3449,203,putative structural polyprotein,Structural-Envelope,Solenopsis invicta,ssrna+,Aparavirus
343,AWW09923.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3971,202,UL6-2,Other-Functions,Homo sapiens,dsdna,Simplexvirus
344,QED44889.1,Alphaflexiviridae,Alphaflexiviridae,Alphaflexiviridae,1668,201,replicase,Replication-Transcription,Allium sativum,ssrna+,Allexivirus
345,AXS01083.1,Baculoviridae,Baculoviridae,Baculoviridae,5105,201,p74/pif-0,Other-Functions,Spodoptera frugiperda,dsdna,Betabaculovirus
346,QQD79885.1,Hantaviridae,Hantaviridae,Hantaviridae,12708,199,nucleocapsid,Structural-Envelope,Apodemus agrarius,ssrna-,Orthohantavirus
347,YP_003331568.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,7298,198,tegument ,Structural-Envelope,Undefined host,dsdna,Varicellovirus
348,YP_009507950.1,Closteroviridae,Closteroviridae,Closteroviridae,598,196,polyprotein,Polyprotein,Diodia,ssrna+,Crinivirus
