ref,rep,fam_2021,fams_div,fam_2023,clu,sxc,proteina,proteina_class,host,cadena,genero
164,ALE20411.1,Reoviridae,Reoviridae,Sedoreoviridae,17688,625,capsid glycoprotein VP7,Structural-Envelope,Sus scrofa,dsRNA,Rotavirus
165,NP_056907.1,Retroviridae,Retroviridae,Retroviridae,1742,624,gag protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Deltaretrovirus
166,NP_044335.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,977,623,coat protein,Polyprotein,Malus domestica,ssRNA(+),Capillovirus
167,AAB19495.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,3407,621,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthorubulavirus
168,QKU35692.1,Mimiviridae,Mimiviridae-Marseilleviridae,Mimiviridae,5013,619,putative ankyrin repeat protein,Other-Functions,Acanthamoeba castellanii,dsDNA,Mimivirus
169,6BK6_A,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,15507,613,matrix protein,Structural-Envelope,Homo sapiens,ssRNA(-),Morbillivirus
170,QGU18502.1,Reoviridae,Reoviridae,Sedoreoviridae,8281,599,VP5-outer capsid,Structural-Envelope,Ovis aries,dsRNA,Orbivirus
171,AGU09694.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,887,597,replicase,Replication-Transcription,Vitis vinifera,ssRNA(+),Foveavirus
172,NP_777385.2,Retroviridae,Retroviridae,Retroviridae,9530,596,envelope glycoprotein,Structural-Envelope,Bos taurus,ssRNA-RT,Deltaretrovirus
173,NP_116409.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3396,594,glycoprotein B,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
174,YP_009179299.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2753,588,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA,Lymphocryptovirus
175,AGO32039.1,Reoviridae,Reoviridae,Spinareoviridae,17548,587,sigma C,Cellular-Regulation,Gallus gallus,dsRNA,Orthoreovirus
176,AOR17474.1,Picornaviridae,Picornaviridae-Coronaviridae,Picornaviridae,886,574,VP1,Structural-Envelope,Homo sapiens,ssRNA(+),Enterovirus
177,AAV48848.3,Birnaviridae,Birnaviridae,Birnaviridae,3212,570,polyprotein,Polyprotein,Oncorhynchus mykiss,dsRNA,Aquabirnavirus
178,CAX33878.1,Birnaviridae,Birnaviridae,Birnaviridae,2921,565,VP1- RNA-dependent RNA polymerase,Replication-Transcription,Gallus gallus,dsRNA,Avibirnavirus
179,0711245A,Retroviridae,Retroviridae,Retroviridae,594,553,gag-pol polyprotein gPr80,Structural-Envelope,Mus musculus,ssRNA-RT,Gammaretrovirus
180,APC23164.1,Parvoviridae,Parvoviridae,Parvoviridae,5794,549,non-structural protein NS1,Non-structural,Homo sapiens,ssDNA(+/-),Erythroparvovirus
181,ACO92353.1,Picornaviridae,Picornaviridae,Picornaviridae,734,547,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Cardiovirus
182,QHW16755.1,Poxviridae,Poxviridae,Poxviridae,13634,542,major envelope protein,Structural-Envelope,Capra hircus,dsDNA,Parapoxvirus
183,QUP51759.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,11140,538,coat protein,Structural-Envelope,Solanum tuberosum,ssRNA(+),Carlavirus
184,CAR56929.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,13106,532,hemagglutinin esterase,Hemagglutinin,Salmo salar,ssRNA(-),Isavirus
185,QQM99855.1,Picobirnaviridae,Picobirnaviridae,Picobirnaviridae,7532,528,RNA-dependent RNA polymerase,Replication-Transcription,Macaca mulatta,dsRNA,Picobirnavirus
186,YP_004895090.1,Mimiviridae,Mimiviridae,Mimiviridae,5817,626,putative F-box and FNIP repeat-containing protein,Other-Functions,Acanthamoeba castellanii,dsDNA,Mimivirus
187,AJT39532.1,Parvoviridae,Parvoviridae,Parvoviridae,2960,506,structural protein,Structural-Envelope,Sus scrofa,ssDNA(+/-),Tetraparvovirus
188,AZQ00683.1,Potyviridae,Potyviridae,Potyviridae,546,503,polyprotein,Polyprotein,Triticum aestivum,ssRNA(+),Bymovirus
189,AGC36402.1,Picornaviridae,Picornaviridae,Picornaviridae,636,498,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Kobuvirus
190,QUS52949.1,Adenoviridae,Adenoviridae,Adenoviridae,5581,497,penton base,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
191,5FSG_A,Hantaviridae,Hantaviridae-Paramyxoviridae-Retroviridae-Flaviviridae,Hantaviridae,5729,490,nucleocapsid protein,Structural-Envelope,Rattus norvegicus,ssRNA(-),Orthohantavirus
192,NP_056886.1,Retroviridae,Retroviridae,Retroviridae,1582,489,gag protein,Structural-Envelope,Gallus gallus,ssRNA-RT,Alpharetrovirus
193,QRG45927.1,Nairoviridae,Nairoviridae,Nairoviridae,1446,488,glycoprotein precursor,Glycoprotein,Homo sapiens,ssRNA(-),Orthonairovirus
194,YP_009508797.1,Parvoviridae,Parvoviridae,Parvoviridae,3707,486,NS1,Non-structural,Sus scrofa,ssDNA(+/-),Bocaparvovirus
195,AKI18383.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3822,476,tegument protein TRS1,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
196,AGB67759.1,Picornaviridae,Picornaviridae,Picornaviridae,818,469,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Teschovirus
197,YP_009351861.1,Flaviviridae,Flaviviridae,Flaviviridae,244,462,non-structural protein,Non-structural,Aedes aegypti,ssRNA(+),Flavivirus
198,AKZ66476.1,Coronaviridae,Coronaviridae,Coronaviridae,1723,458,spike protein,Structural-Envelope,Felis catus,ssRNA(+),Alphacoronavirus
199,YP_006468898.1,Tospoviridae,Tospoviridae-Peribunyaviridae,Tospoviridae,446,456,RNA-dependent RNA polymerase,Replication-Transcription,Arachis hypogaea,ssRNA(+/-),Orthotospovirus
200,7M5E_A,Coronaviridae,Coronaviridae,Coronaviridae,1952,454,Spike protein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus
201,YP_009552729.1,Polyomaviridae,Polyomaviridae,Polyomaviridae,16252,454,VP2-capsid,Structural-Envelope,Homo sapiens,dsDNA,Betapolyomavirus
202,ADJ18278.1,Anelloviridae,Anelloviridae,Anelloviridae,11649,452,VP1-capsid,Structural-Envelope,Gallus gallus,ssDNA(-),Gyrovirus
203,QQP29627.1,Flaviviridae,Flaviviridae,Flaviviridae,280,823,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Orthoflavivirus
204,AET72462.1,Picornaviridae,Picornaviridae-Coronaviridae,Picornaviridae,918,446,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Enterovirus
205,NP_598314.1,Coronaviridae,Coronaviridae,Coronaviridae,12185,444,nucleocapsid protein,Structural-Envelope,Sus scrofa,ssRNA(+),Alphacoronavirus
206,YP_009345901.1,Picornaviridae,Picornaviridae,Picornaviridae,615,430,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Sapelovirus
207,AGX86088.1,Reoviridae,Reoviridae,Sedoreoviridae,15186,430,NS2,Non-structural,Ovis aries,dsRNA,Orbivirus
208,ARU09832.1,Solemoviridae,Solemoviridae-Luteoviridae-Geminiviridae,Solemoviridae,5749,429,coat protein,Structural-Envelope,Cucurbitaceae,ssRNA(+),Polerovirus
209,QAG21139.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,312,427,BPLF1,Structural-Envelope,Homo sapiens,dsDNA,Lymphocryptovirus
210,YP_010085063.1,Tospoviridae,Tospoviridae-Peribunyaviridae,Tospoviridae,2389,413,glycoprotein precursor,Glycoprotein,Solanum lycopersicum,ssRNA(+/-),Orthotospovirus
211,AQX34698.1,Reoviridae,Reoviridae,Sedoreoviridae,8282,412,NS1,Non-structural,Ovis aries,dsRNA,Orbivirus
212,QVW56497.1,Genomoviridae,Genomoviridae-Circoviridae,Genomoviridae,16929,581,capsid protein,Structural-Envelope,Pteropus tonganus,ssDNA,Gemycircularvirus
213,QOR29584.1,Dicistroviridae,Dicistroviridae,Dicistroviridae,603,409,capsid protein,Structural-Envelope,Apis mellifera,ssRNA(+),Triatovirus
214,YP_009513193.1,Nairoviridae,Nairoviridae-Peribunyaviridae,Nairoviridae,6082,409,nucleoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthonairovirus
215,APG77540.1,Virgaviridae,Virgaviridae,Virgaviridae,1536,408,RNA-dependent RNA polymerase,Replication-Transcription,Solanum lycopersicum,ssRNA(+),Tobamovirus
216,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus
217,ATZ76094.1,Hypoviridae,Hypoviridae,Hypoviridae,6947,406,ORFA,Other-Functions,Cryphonectria parasitica,ssRNA(+),Alphahypovirus
218,QSJ02959.1,Coronaviridae,Coronaviridae,Coronaviridae,11545,405,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus
219,BAW81815.1,Bromoviridae,Bromoviridae,Bromoviridae,3944,402,2a protein- RNA-dependent RNA polymerase,Replication-Transcription,Capsicum annuum,ssRNA(+),Cucumovirus
220,ATE46284.1,Potyviridae,Potyviridae,Potyviridae,347,394,polyprotein,Polyprotein,Saccharum officinarum,ssRNA(+),Poacevirus
221,YP_004089623.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,13034,392,coat protein,Structural-Envelope,Pyrus communis,ssRNA(+),Foveavirus
222,YP_009513274.1,Filoviridae,Filoviridae,Filoviridae,5184,386,nucleoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthoebolavirus
223,QJD34359.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,11031,386,L2-late protein,Other-Functions,Homo sapiens,dsDNA,Alphapapillomavirus
224,YP_009666113.1,Nairoviridae,Nairoviridae-Peribunyaviridae,Nairoviridae,152,384,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Orthonairovirus
225,CAC80000.1,Bromoviridae,Bromoviridae,Bromoviridae,3066,383,1a protein-helicase-replicase,Replication-Transcription,Capsicum annuum,ssRNA(+),Cucumovirus
226,QMP82847.1,Parvoviridae,Parvoviridae,Parvoviridae,3952,381,NS1,Non-structural,Homo sapiens,ssDNA(+/-),Bocaparvovirus
227,ACE80203.1,Picornaviridae,Picornaviridae-Hepadnaviridae,Picornaviridae,805,380,polyprotein,Polyprotein,Anatidae,ssRNA(+),Avihepatovirus
228,AFO11486.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,1156,377,polyprotein,Polyprotein,Saccharum,dsDNA-RT,Badnavirus
229,ARC95292.1,Picornaviridae,Picornaviridae,Picornaviridae,672,376,VP1 protein,Polyprotein,Sus scrofa,ssRNA(+),Enterovirus
230,ABX25829.1,Retroviridae,Retroviridae,Retroviridae,9965,372,gag protein,Structural-Envelope,Feliformia,ssRNA-RT,Lentivirus
231,QBN85124.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3720,370,helicase-primase helicase subunit,Replication-Transcription,Homo sapiens,dsDNA,Lymphocryptovirus
232,AMB65767.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,12926,370,thymidine kinase,Hypothetical,Homo sapiens,dsDNA,Simplexvirus
233,AWW11242.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,333,369,UL36- large tegument protein,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
234,YP_007906023.1,Adenoviridae,Adenoviridae,Adenoviridae,7162,365,fiber,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
235,YP_010085229.1,Poxviridae,Poxviridae,Poxviridae,5576,361,4b core protein,Structural-Envelope,Gallus gallus,dsDNA,Avipoxvirus
236,QJI53447.1,Iflaviridae,Iflaviridae-Totiviridae-Dicistroviridae,Iflaviridae,174,359,polyprotein,Polyprotein,Apis mellifera,ssRNA(+),Iflavirus
237,BBG62182.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,5124,358,large T antigen,Replication-Transcription,Homo sapiens,dsDNA,Betapolyomavirus
238,YP_009824993.1,Coronaviridae,Coronaviridae,Coronaviridae,11016,356,nucleocapsid protein,Structural-Envelope,Felis catus,ssRNA(+),Alphacoronavirus
239,YP_002308464.1,Alphaflexiviridae,Alphaflexiviridae,Alphaflexiviridae,1685,355,RNA-dependent RNA polymerase,Replication-Transcription,Solanum tuberosum,ssRNA(+),Potexvirus
240,AHV84051.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3206,354,helicase-primase helicase subunit,Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
241,NP_041242.1,Parvoviridae,Parvoviridae,Parvoviridae,5429,353,NS1,Non-structural,Canis lupus familiaris,ssDNA(+/-),Protoparvovirus
242,YP_052956.1,Reoviridae,Reoviridae,Sedoreoviridae,16620,350,VP7-capsid,Structural-Envelope,Bos taurus,dsRNA,Orbivirus
243,NP_957802.1,Poxviridae,Poxviridae,Poxviridae,3052,349,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA,Avipoxvirus
244,QGY64368.1,Adenoviridae,Adenoviridae,Adenoviridae,2823,344,hexon-assembly-100K,Other-Functions,Homo sapiens,dsDNA,Mastadenovirus
245,NP_045004.1,Closteroviridae,Closteroviridae,Closteroviridae,7054,343,heat shock protein 70,Stress-Response,Solanum lycopersicum,ssRNA(+),Crinivirus
246,QPZ88447.1,Tospoviridae,Tospoviridae,Tospoviridae,10282,343,NSs non-structural protein,Non-structural,Capsicum,ssRNA(+/-),Orthotospovirus
247,ACK77584.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,5065,341,glycoprotein,Structural-Envelope,Cyprinus carpio,ssRNA(-),Vesiculovirus
248,NP_044188.1,Adenoviridae,Adenoviridae,Adenoviridae,9946,339,IVa2-maturation,Hypothetical,Homo sapiens,dsDNA,Mastadenovirus
249,QOE76799.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,5789,338,hemagglutinin-esterase,Hemagglutinin,Homo sapiens,ssRNA(-),Gammainfluenzavirus
250,AAN04389.1,Poxviridae,Poxviridae-Phycodnaviridae-Baculoviridae-Mimiviridae-Asfarviridae-Nimaviridae-Alloherpesviridae-Nudiviridae-Hytrosaviridae-Caulimoviridae,Poxviridae,3430,336,ribonucleotide reductase large subunit,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
251,BAV53465.1,Solemoviridae,Solemoviridae-Luteoviridae-Geminiviridae,Solemoviridae,5213,335,coat protein,Structural-Envelope,Solanum tuberosum,ssRNA(+),Polerovirus
252,AMB66415.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,1783,333,major capsid protein,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
253,CAA01837.1,Arteriviridae,Arteriviridae,Arteriviridae,163,331,polyprotein pp1a,Polyprotein,Sus scrofa,ssRNA(+),Betaarterivirus
254,QBK85816.1,Iridoviridae,Iridoviridae-Marseilleviridae,Iridoviridae,9184,327,major capsid protein,Structural-Envelope,Lates calcarifer,dsDNA,Ranavirus
255,AID16660.1,Coronaviridae,Coronaviridae,Coronaviridae,12205,325,hemagglutinin-esterase,Hemagglutinin,Homo sapiens,ssRNA(+),Betacoronavirus
256,ARX74206.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,8240,319,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-),Respirovirus
257,AAA46204.1,Retroviridae,Retroviridae,Retroviridae,8740,317,tax protein,Glycoprotein,Homo sapiens,ssRNA-RT,Deltaretrovirus
258,QED45302.1,Potyviridae,Potyviridae,Potyviridae,246,315,polyprotein,Polyprotein,Allium sativum,ssRNA(+),Potyvirus
259,ATZ69454.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,1232,575,polyprotein- putative movement protein,Transport,Theobroma cacao,dsDNA-RT,Badnavirus
260,BBG62110.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,10203,311,VP1-capsid,Structural-Envelope,Homo sapiens,dsDNA,Alphapolyomavirus
261,YP_009351850.1,Reoviridae,Reoviridae,Spinareoviridae,2152,310,RNA-dependent RNA polymerase,Replication-Transcription,Gallus gallus,dsRNA,Orthoreovirus
262,BAB33175.1,Retroviridae,Retroviridae,Retroviridae,3110,309,envelope protein,Structural-Envelope,Puma concolor,ssRNA-RT,Spumavirus
263,YP_006272973.1,Adenoviridae,Adenoviridae,Adenoviridae,12082,306,fiber protein,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
264,QBH76564.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2259,305,helicase-primase -UL52,Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
265,ASA48525.1,Anelloviridae,Anelloviridae,Anelloviridae,9295,305,ORF1,Other-Functions,Leptonychotes weddellii,ssDNA(-),Lambdatorquevirus
266,QYA72637.1,Potyviridae,Potyviridae-Mimiviridae,Potyviridae,452,301,polyprotein,Polyprotein,Manihot esculenta,ssRNA(+),Ipomovirus
267,P03364.3,Retroviridae,Retroviridae,Retroviridae,1245,299,pol protein,Polyprotein,Capra hircus,ssRNA-RT,Betaretrovirus
268,AYV99177.1,Flaviviridae,Flaviviridae,Flaviviridae,188,296,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Pestivirus
269,QQG34656.1,Tymoviridae,Tymoviridae-Picornaviridae,Tymoviridae,905,294,polyprotein,Polyprotein,Vitis vinifera,ssRNA(+),Marafivirus
270,AMB66209.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2045,294,single-stranded DNA-binding protein,Binding-Protein,Homo sapiens,dsDNA,Simplexvirus
271,AQW44800.1,Secoviridae,Secoviridae,Secoviridae,683,292,polyprotein,Polyprotein,Vitis vinifera,ssRNA(+),Nepovirus
272,QNJ57194.1,Anelloviridae,Anelloviridae,Anelloviridae,6482,292,ORF1,Other-Functions,Sus scrofa,ssDNA(-),Iotatorquevirus
273,YP_009664807.1,Closteroviridae,Closteroviridae,Closteroviridae,7179,292,heat shock protein 70,Other-Functions,Vitis vinifera,ssRNA(+),Closterovirus
274,QYA72453.1,Secoviridae,Secoviridae,Secoviridae,1176,291,polyprotein,Polyprotein,Prunus avium,ssRNA(+),Fabavirus
275,YP_009505443.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,14443,291,phosphoprotein,Other-Functions,Homo sapiens,ssRNA(-),Orthorubulavirus
276,NP_944422.2,Herpesviridae,Herpesviridae,Orthoherpesviridae,4547,289,DNA packaging terminase subunit 1,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
277,BBG62074.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,4487,288,large T antigen,Other-Functions,Homo sapiens,dsDNA,Deltapolyomavirus
278,YP_392514.1,Reoviridae,Reoviridae,Sedoreoviridae,5120,288,VP4,Structural-Envelope,Sus scrofa,dsRNA,Rotavirus
279,YP_009507774.1,Reoviridae,Reoviridae,Spinareoviridae,7655,286,major capsid protein,Structural-Envelope,Oryza sativa,dsRNA,Fijivirus
280,AGE49692.1,Phycodnaviridae,Phycodnaviridae,Phycodnaviridae,3428,283,DNA polymerase,Replication-Transcription,Chlorella variabilis,dsDNA,Chlorovirus
281,AMB66386.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,4728,283,envelope glycoprotein G,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
282,AYA83039.1,Filoviridae,Filoviridae,Filoviridae,15441,282,VP35,Structural-Envelope,Homo sapiens,ssRNA(-),Orthoebolavirus
283,ABX25833.1,Retroviridae,Retroviridae,Retroviridae,3883,280,env protein,Structural-Envelope,Puma concolor,ssRNA-RT,Lentivirus
284,QOL70884.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,11629,280,fusion protein,Structural-Envelope,Salmo salar,ssRNA(-),Isavirus
285,BCK34805.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2358,275,EBNA-3B- nuclear antigen,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
286,QAD37909.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3221,274,EBNA-3A-nuclear antigen,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
287,YP_009448179.1,Astroviridae,Astroviridae,Astroviridae,1884,271,ORF1ab,Non-structural,Sus scrofa,ssRNA(+),Mamastrovirus
288,QGY64372.1,Adenoviridae,Adenoviridae,Adenoviridae,6898,265,E1B 55K-large T antigen,Regulation-Control,Homo sapiens,dsDNA,Mastadenovirus
289,YP_002268402.1,Picornaviridae,Picornaviridae,Picornaviridae,894,264,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Senecavirus
290,YP_009552848.1,Tombusviridae,Tombusviridae-Luteoviridae-Solemoviridae,Tombusviridae,3347,264,RNA-dependent RNA polymerase,Replication-Transcription,Triticum aestivum,ssRNA(+),Luteovirus
291,SBS69695.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,4588,264,ubiquitin E3 ligase ICP0,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
292,CBG22680.1,Adenoviridae,Adenoviridae,Adenoviridae,7084,264,penton base,Other-Functions,Homo sapiens,dsDNA,Mastadenovirus
293,YP_010086221.1,Phenuiviridae,Phenuiviridae-Peribunyaviridae,Phenuiviridae,1751,422,glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(+/-),Phlebovirus
294,ARA91676.1,Anelloviridae,Anelloviridae,Anelloviridae,6599,257,ORF1,Other-Functions,Sus scrofa,ssDNA(-),Iotatorquevirus
295,AIE40966.1,Poxviridae,Poxviridae,Poxviridae,10171,256,CPXV217 protein-IL-1 convertase,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
296,YP_009352936.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3963,252,DNA packaging terminase subunit 2,Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
297,AZR67740.1,Adenoviridae,Adenoviridae,Adenoviridae,13727,252,pV-core protein,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
298,AMB66203.1,Herpesviridae,Herpesviridae-Rhabdoviridae,Orthoherpesviridae,3313,249,DNA packaging tegument protein UL25,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
299,AMJ52831.2,Herpesviridae,Herpesviridae,Orthoherpesviridae,6621,249,protein UL150,Non-structural,Homo sapiens,dsDNA,Cytomegalovirus
300,AMB61086.1,Adenoviridae,Adenoviridae,Adenoviridae,7064,249,pIIIa-capsid protein,Structural-Envelope,Homo sapiens,dsDNA,Mastadenovirus
301,AYA49804.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2186,248,BOLF1-tegument,Structural-Envelope,Homo sapiens,dsDNA,Lymphocryptovirus
302,QTE03943.1,Parvoviridae,Parvoviridae,Parvoviridae,6039,248,Rep 78 protein,Replication-Transcription,Homo sapiens,ssDNA(+/-),Dependoparvovirus
303,AID55207.1,Astroviridae,Astroviridae,Astroviridae,5115,245,capsid protein,Structural-Envelope,Gallus gallus,ssRNA(+),Avastrovirus
304,AZK35897.1,Anelloviridae,Anelloviridae,Anelloviridae,4267,244,ORF1,Hypothetical,Homo sapiens,ssDNA(-),Alphatorquevirus
305,AWW13352.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2034,242,transcriptional regulator ICP4,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
306,ACU01783.1,Arteriviridae,Arteriviridae,Arteriviridae,643,239,polyprotein 1a,Replication-Transcription,Sus scrofa,ssRNA(+),Betaarterivirus
307,7LBE_C,Herpesviridae,Herpesviridae,Orthoherpesviridae,9893,238,glycoprotein O,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
308,AMB66406.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3578,237,DNA replication origin-binding helicase,Replication-Transcription,Homo sapiens,dsDNA,Simplexvirus
309,ADJ00320.1,Reoviridae,Reoviridae,Spinareoviridae,5588,236,muB - outer shell,Structural-Envelope,Gallus gallus,dsRNA,Orthoreovirus
310,YP_009214659.1,Arteriviridae,Arteriviridae,Arteriviridae,146,234,polyprotein,Polyprotein,Equus caballus,ssRNA(+),Alphaarterivirus
311,BCK34806.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2737,234,nuclear antigen EBNA-3C,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
312,AAA43011.1,Retroviridae,Retroviridae,Retroviridae,9656,234,gag protein,Structural-Envelope,Equus caballus,ssRNA-RT,Lentivirus
313,QBA84868.1,Parvoviridae,Parvoviridae,Parvoviridae,2409,232,capsid protein,Structural-Envelope,Sus scrofa,ssDNA(+/-),Copiparvovirus
314,AMB66268.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5006,232,DNA packaging tegument protein UL17,Structural-Envelope,Homo sapiens,dsDNA,Simplexvirus
315,QAD27837.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,8327,232,EBNA-2,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus
316,AAA46240.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,13429,231,nucleoprotein,Structural-Envelope,Oncorhynchus mykiss,ssRNA(-),Novirhabdovirus
317,NP_612691.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,777,230,large tegument protein,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
318,QYC92650.1,Baculoviridae,Baculoviridae,Baculoviridae,2457,230,DNA polymerase,Replication-Transcription,Lymantria dispar,dsDNA,Alphabaculovirus
319,YP_009666846.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,4003,230,hemagglutinin-neuraminidase,Other-Functions,Homo sapiens,ssRNA(-),Respirovirus
320,YP_006200960.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,6256,229,glycoprotein G,Structural-Envelope,Bos taurus,ssRNA(-),Ephemerovirus
321,ACN81881.1,Poxviridae,Poxviridae,Poxviridae,2026,227,DNA-dependent RNA polymerase subunit rpo147,Replication-Transcription,Homo sapiens,dsDNA,Orthopoxvirus
322,AMB66419.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,13424,226,thymidine kinase,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
323,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,13688,320,E2 protein,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus
324,AKH48996.1,Arenaviridae,Arenaviridae,Arenaviridae,994,224,L polymerase,Replication-Transcription,Boa constrictor,ssRNA(+/-),Reptarenavirus
325,AMB65784.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2084,224,UL39,Other-Functions,Homo sapiens,dsDNA,Simplexvirus
326,ASA40120.1,Caulimoviridae,Caulimoviridae-Phycodnaviridae,Caulimoviridae,1088,223,polyprotein,Other-Functions,Dioscorea cayenensis subsp. rotundata,dsDNA-RT,Badnavirus
327,DAC85029.1,Betaflexiviridae,Betaflexiviridae,Betaflexiviridae,1261,222,RdRp,Replication-Transcription,Vitis vinifera,ssRNA(+),Trichovirus
328,AKI08798.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5575,219,capsid maturation protease,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus
329,YP_009026384.1,Picornaviridae,Picornaviridae,Picornaviridae,581,218,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Cosavirus
330,YP_009021566.1,Parvoviridae,Parvoviridae,Parvoviridae,6255,216,replicase,Non-structural,Sus scrofa,ssDNA(+/-),Copiparvovirus
331,YP_009268819.1,Poxviridae,Poxviridae,Poxviridae,3538,215,CPXV142 protein,Other-Functions,Homo sapiens,dsDNA,Orthopoxvirus
